Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Lineage,Location,Host,Isolate_Submitter,Submitting_Lab,Submitting_Sample_Id,Authors,Publication,Originating_Lab,Originating_Sample_Id,Collection_Date
EPI_ISL_187269,EPI608726 | A/Brisbane/66/2009,a/brisbane/66/2009,A / H3N2,,Oceania / Australia / Queensland,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,6/23/09
EPI_ISL_187260,EPI608717 | A/Korea/7719/2008,a/korea/7719/2008,A / H3N2,,"Asia / Korea, Republic of",Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,12/8/08
EPI_ISL_187205,EPI608662 | A/Albania/250/2009,a/albania/250/2009,A / H3N2,,Europe / Albania,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2/26/09
EPI_ISL_187168,EPI608624 | A/Massachusetts/06/2008,a/massachusetts/06/2008,A / H3N2,,North America / United States / Massachusetts,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,10/29/08
EPI_ISL_187161,EPI608617 | A/Shanghai Luwan/1573/2010,a/shanghai-luwan/1573/2010,A / H3N2,,Asia / China,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,9/17/10
EPI_ISL_187160,EPI608616 | A/District Of Columbia/02/2010,a/district-of-columbia/02/2010,A / H3N2,,North America / United States,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,12/31/10
EPI_ISL_187147,EPI608602 | A/Louisiana/01/2008,a/louisiana/01/2008,A / H3N2,,North America / United States / Louisiana,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/2/08
EPI_ISL_186796,EPI608251 | A/Brisbane/24/2008,a/brisbane/24/2008,A / H3N2,,Oceania / Australia / Queensland,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,6/23/08
EPI_ISL_186786,EPI608241 | A/Argentina/27894/2010,a/argentina/27894/2010,A / H3N2,,South America / Argentina,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,9/17/10
EPI_ISL_186784,EPI608239 | A/Latvia/2-1047/2009,a/latvia/2-1047/2009,A / H3N2,,Europe / Latvia,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2/20/09
