Isolate_Id,HA Segment_Id,Isolate_Name,Subtype,Lineage,Location,Host,Isolate_Submitter,Submitting_Lab,Submitting_Sample_Id,Authors,Publication,Originating_Lab,Originating_Sample_Id,Collection_Date
EPI_ISL_187797,EPI609270 | A/Lyon/1350/2007,a/lyon/1350/2007,A / H1N1,,Europe / France,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,12/14/07
EPI_ISL_187777,EPI609250 | A/Indonesia/5840/2004,a/indonesia/5840/2004,A / H1N1,,Asia / Indonesia,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,3/17/04
EPI_ISL_187771,EPI609244 | A/Pune/076123/2007,a/pune/076123/2007,A / H1N1,,Asia / India,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,6/15/07
EPI_ISL_187761,EPI609234 | A/Oslo/868/2001,a/oslo/868/2001,A / H1N1,,Europe / Norway,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,2/7/01
EPI_ISL_187706,EPI609179 | A/Auckland/8/2007,a/auckland/8/2007,A / H1N1,,Oceania / New Zealand,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,6/18/07
EPI_ISL_187704,EPI609177 | A/Waikato/10/2001,a/waikato/10/2001,A / H1N1,,Oceania / New Zealand,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,5/29/01
EPI_ISL_187678,EPI609151 | A/Santiago/5087/2008,a/santiago/5087/2008,A / H1N1,,South America / Chile,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,4/10/08
EPI_ISL_187658,EPI609131 | A/Korea/AF1307/2008,a/korea/af1307/2008,A / H1N1,,"Asia / Korea, Republic of",Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,1/16/08
EPI_ISL_187651,EPI609124 | A/Canterbury/05/2001,a/canterbury/05/2001,A / H1N1,,Oceania / New Zealand,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,6/3/01
EPI_ISL_187646,EPI609119 | A/Argentina/307/2008,a/argentina/307/2008,A / H1N1,,South America / Argentina,Human,Initial import,Other Database Import,,"Bedford,T.; Riley,S.; Barr,I.G.; Broor,S.; Chadha,M.; Cox,N.J.; Daniels,R.S.; Gunasekaran,C.P.; Hurt,A.C.; Kelso,A.; Klimov,A.; Lewis,N.S.; Li,X.; McCauley,J.W.; Odagiri,T.; Potdar,V.; Rambaut,A.; Shu,Y.; Skepner,E.; Smith,D.J.; Suchard,M.A.; Tashiro,M.; Wang,D.; Xu,X.; Lemey,P.; Russell,C.A.",,,,7/14/08
